HH_NUM,SOCEC,CITY,PER_DESCcounter,CONFIGcounter,HOME_APPcounter,PETS_RECcounter,HH_INSTAcounter,HH_SIZEcounter,PER_NUM,AGE,SEX,REL_TO_HOH,WT_TYPE,DROPPED,PER_MIT,OCCUPATION,EDUCATION,UNIT_NUM,PROVIDER,CABLE_TV,PARA_ANT,sum[BW_TVCOLOR_TV],PROVEDOR_DE_CABLE,COLOR_TV,RADIO,TELEPHONE,SAMP_ST_D,N_PER
100001,1,1,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,45,1,1,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,42,2,3,1,0,2,3,5,,,,,,,,,,,
,,,,,,,,,3,22,2,4,1,0,3,3,5,,,,,,,,,,,
,,,,,,,,,4,15,2,4,1,0,4,1,4,,,,,,,,,,,
,,,,,,,,,5,11,2,4,1,0,5,1,2,,,,,,,,,,,
,,,,,,,,,6,1,1,4,1,0,6,5,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230504,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
100002,1,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,56,2,2,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,27,1,4,1,0,2,3,5,,,,,,,,,,,
,,,,,,,,,3,10,2,4,1,0,3,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230504,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
100003,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,56,1,1,1,0,1,3,3,,,,,,,,,,,
,,,,,,,,,2,73,2,3,1,0,2,4,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100004,2,1,5,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,45,1,1,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,52,2,3,1,0,2,4,4,,,,,,,,,,,
,,,,,,,,,3,27,1,4,1,0,3,4,5,,,,,,,,,,,
,,,,,,,,,4,17,2,4,1,0,4,1,4,,,,,,,,,,,
,,,,,,,,,5,23,2,4,1,0,5,3,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,3,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230509,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
